country,total_emissions,per_capita_emissions,pop,lifeExp,gdpPercap
Albania,3825.184,1.27,3600523,76.423,5937.029526
Algeria,77474.13,2.327,33333216,72.301,6223.367465
Angola,6146.691,0.314,12420476,42.731,4797.231267
Argentina,149476.04,3.819,40301927,75.32,12779.37964
Australia,365515.118,17.873,20434176,81.235,34435.36744
Austria,74764.026,9.09,8199783,79.829,36126.4927
Bahrain,20564.912,23.133,708573,75.635,29796.04834
Bangladesh,31960.244,0.223,150448339,64.062,1391.253792
Belgium,107676.772,10.275,10392226,79.441,33692.60508
Benin,2677.863,0.335,8078314,56.728,1441.284873
Bosnia and Herzegovina,15857.733,4.193,4552198,74.852,7446.298803
Botswana,4278.592,2.305,1639131,50.728,12569.85177
Brazil,311623.799,1.667,190010647,72.39,9065.800825
Bulgaria,46473.483,6.068,7322858,73.005,10680.79282
Cambodia,2639.032,0.199,14131858,59.723,1713.778686
Cameroon,2935.781,0.169,17696293,50.43,2042.09524
Canada,540431.495,16.762,33390141,80.653,36319.23501
Chile,54434.634,3.343,16284741,78.553,13171.63885
China,5407518.03,4.148,1318683096,72.961,4959.114854
Colombia,53585.3,1.238,44227550,72.889,7006.580419
Costa Rica,5463.059,1.286,4133884,78.782,9645.06142
Croatia,19917.214,4.484,4493312,75.748,14619.22272
Cuba,25051.431,2.22,11416987,78.273,8948.102923
Denmark,48494.944,8.949,5468120,78.332,35278.41874
Dominican Republic,17522.139,1.897,9319622,72.235,6025.374752
Ecuador,23926.725,1.742,13755680,74.994,6873.262326
Egypt,145027.708,1.889,80264543,71.338,5581.180998
El Salvador,6252.815,1.037,6939688,71.878,5728.353514
Eritrea,578.183,0.146,4906585,58.04,641.3695236
Ethiopia,4482.124,0.058,76511887,52.947,690.8055759
Finland,54918.043,10.469,5238460,79.313,33207.0844
France,371892.91,5.887,61083916,80.657,30470.0167
Gabon,1733.485,1.236,1454867,56.735,13206.48452
Germany,786664.297,9.672,82400996,79.406,32170.37442
